title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
Information on Current and Future States of Cybersecurity in the Digital Economy,Notice,Commerce Department; National Institute of Standards and Technology,"The Commission on Enhancing National Cybersecurity requests information about current and future states of cybersecurity in the digital economy. As directed by Executive Order 13718, ``Commission on Enhancing National Cybersecurity'' (the ``Executive Order''), the Commission will make detailed recommendations to strengthen cybersecurity in both the public and private sectors while protecting privacy, ensuring public safety and economic and national security, fostering discovery and development of new technical solutions, and bolstering partnerships between Federal, State and local government and the private sector in the development, promotion, and use of cybersecurity technologies, policies, and best practices. The Secretary of Commerce was tasked by the Exective Order to direct the Director of the National Institute of Standards and Technology (NIST) to provide the Commission with such expertise, services, funds, facilities, staff, equipment, and other support services as may be necessary to carry out its mission. Responses to this RFI--which will be posted at http://www.nist.gov/ cybercommission--will inform the Commission as it develops its detailed recommendations.", 2016-18948,https://www.federalregister.gov/documents/2016/08/10/2016-18948/information-on-current-and-future-states-of-cybersecurity-in-the-digital-economy,https://www.gpo.gov/fdsys/pkg/FR-2016-08-10/pdf/2016-18948.pdf,08/10/2016
Privacy Shield Framework,Notice,Commerce Department; International Trade Administration,"The International Trade Administration (ITA) is publishing this notice to announce the availability of the Privacy Shield Framework documents. The EU-U.S. Privacy Shield Framework was designed by the U.S. Department of Commerce and European Commission to provide companies on both sides of the Atlantic with a mechanism to comply with European Union data protection requirements when transferring personal data from the European Union to the United States in support of transatlantic commerce. The Privacy Shield Framework documents published in this notice include the Privacy Shield Principles and Annex I describing the new arbitral model available under the Privacy Shield, letters from the Secretary of Commerce and Acting Under Secretary for International Trade describing the Department of Commerce's administration of the Privacy Shield, letters from the Chairwoman of the Federal Trade Commission and Secretary of Transportation describing their enforcement of the Privacy Shield, a letter from the Secretary of State regarding the Privacy Shield Ombudsperson, two letters from the Office of the Director of National Intelligence regarding safeguards and limitations applicable to U.S. national security authorities, and a letter from the Department of Justice regarding safeguards and limitations on U.S. Government access for law enforcement and public interest purposes.", 2016-17961,https://www.federalregister.gov/documents/2016/08/02/2016-17961/privacy-shield-framework,https://www.gpo.gov/fdsys/pkg/FR-2016-08-02/pdf/2016-17961.pdf,08/02/2016
Office of the National Coordinator for Health Information Technology; Announcement of Requirements and Registration for “Blockchain and its Emerging Role in Health IT and Health-related Research”; Amendment,Notice,Health and Human Services Department,"This document amends the notice published in Federal Register, Friday July 8, 2016, volume 81, pages 44639-44640. This notice updates and extends the submission period to August 8, 2016, limits an investigator or co-investigator to one submission and adds prize details. The ``Use of Blockchain in Health IT and Health-related Research'' Ideation Challenge solicits white papers on the topic of Blockchain Technology and the potential use in Health IT to address privacy, security and scalability challenges of managing electronic health record and resources. Up to 15 winners will be awarded a cash prize and up to 8 winners may be invited to present their papers at an upcoming industry-wide workshop co-hosted with the National Institute of Standards and Technology (NIST). The statutory authority for this Challenge is section 105 of the America COMPETES Reauthorization Act of 2010 (Pub. L. 111-358).", 2016-16607,https://www.federalregister.gov/documents/2016/07/14/2016-16607/office-of-the-national-coordinator-for-health-information-technology-announcement-of-requirements,https://www.gpo.gov/fdsys/pkg/FR-2016-07-14/pdf/2016-16607.pdf,07/14/2016
Office of the National Coordinator for Health Information Technology; Announcement of Requirements and Registration for “Blockchain and Its Emerging Role in Healthcare and Health-related Research”,Notice,Health and Human Services Department,The ``Blockchain and Its Emerging Role in Healthcare and Health-related Research.'' Ideation Challenge solicits white papers on the topic of Blockchain Technology and the potential use for Healthcare. Winners will be invited to present their submission at an upcoming industry-wide workshop co-hosted with the National Institute of Standards and Technology (NIST). The statutory authority for this Challenge is Section 105 of the America COMPETES Reauthorization Act of 2010 (Pub. L. 111-358)., 2016-16133,https://www.federalregister.gov/documents/2016/07/08/2016-16133/office-of-the-national-coordinator-for-health-information-technology-announcement-of-requirements,https://www.gpo.gov/fdsys/pkg/FR-2016-07-08/pdf/2016-16133.pdf,07/08/2016
Army Science Board Partially Closed Meeting Notice,Notice,Defense Department; Army Department,"Pursuant to the Federal Advisory Committee Act of 1972 (5 U.S.C., Appendix, as amended), the Government in the Sunshine Act of 1976 (U.S.C. 552b, as amended) and 41 Code of Federal Regulations (CFR) Sec. 102-3.140 through 160, the Department of the Army announces the following committee meeting:", 2016-15901,https://www.federalregister.gov/documents/2016/07/06/2016-15901/army-science-board-partially-closed-meeting-notice,https://www.gpo.gov/fdsys/pkg/FR-2016-07-06/pdf/2016-15901.pdf,07/06/2016
Opportunity To Enter Into a Joint Venture With the National Technical Information Service for Data Innovation Support,Notice,Commerce Department; National Technical Information Service,"The National Technical Information Service (NTIS) requests proposals from interested for-profit, non-profit, or research performing service organizations to enter into a Joint Venture Partnership with NTIS to assist Federal agencies to develop and implement innovative ways to collect, connect, access, analyze, or use Federal data and data services.", 2016-14175,https://www.federalregister.gov/documents/2016/06/15/2016-14175/opportunity-to-enter-into-a-joint-venture-with-the-national-technical-information-service-for-data,https://www.gpo.gov/fdsys/pkg/FR-2016-06-15/pdf/2016-14175.pdf,06/15/2016
Open Meeting of the Information Security and Privacy Advisory Board,Notice,Commerce Department; National Institute of Standards and Technology,"The Information Security and Privacy Advisory Board (ISPAB) will meet Wednesday, June 15, 2016, from 8:30 a.m. until 5:00 p.m. Eastern Time, Thursday, June 16, 2016, from 8:30 a.m. until 5:00 p.m. Eastern Time, and Friday, June 17, 2016, from 8:30 a.m. until 12:00 p.m. Eastern Time. All sessions will be open to the public.", 2016-11775,https://www.federalregister.gov/documents/2016/05/19/2016-11775/open-meeting-of-the-information-security-and-privacy-advisory-board,https://www.gpo.gov/fdsys/pkg/FR-2016-05-19/pdf/2016-11775.pdf,05/19/2016
Public Transportation Innovation Funding Opportunity; Mobility on Demand (MOD) Sandbox Demonstration Program,Notice,Transportation Department; Federal Transit Administration,"The Federal Transit Administration (FTA) announces the availability of $8 Million in Fiscal Year (FY) 2014 and FY 2016 research funds, for a new program to demonstrate and evaluate innovative approaches to integrated ``Mobility on Demand'' (MOD) solutions within a public transportation framework. The MOD Sandbox Demonstration Program is intended to provide a platform where integrated MOD concepts and solutions are supported and demonstrated through local partnerships in a real-world setting. FTA will fund project teams to adopt innovative business models to deliver high quality, seamless and equitable mobility options for all travelers. The MOD Sandbox further emphasizes FTA's interest in transit and mobility innovation, and builds upon FTA's recent XPEDITE Innovation initiative, which sought industry input through an online dialogue on transit innovation, particularly technology trends that increase public transportation efficiency, effectiveness and enhance the quality of customer travel. This notice also includes: (1) Reference to a number of areas for demonstrations of particular interest to FTA (to be used to guide but not limit innovative proposal concepts), (2) criteria that the FTA will use to identify projects for funding, and (3) the process for applying for the funding. This announcement is available on the FTA Web site at: http:// www.fta.dot.gov. A synopsis of this funding opportunity will be posted in the FIND module of the government-wide electronic grants Web site at http://www.GRANTS.GOV. FTA will announce final selections on the FTA Web site and may also announce selections in the Federal Register.", 2016-10320,https://www.federalregister.gov/documents/2016/05/03/2016-10320/public-transportation-innovation-funding-opportunity-mobility-on-demand-mod-sandbox-demonstration,https://www.gpo.gov/fdsys/pkg/FR-2016-05-03/pdf/2016-10320.pdf,05/03/2016
"Mine Safety and Health Research Advisory Committee, National Institute for Occupational Safety and Health (MSHRAC, NIOSH)",Notice,Health and Human Services Department; Centers for Disease Control and Prevention,"", 2016-08519,https://www.federalregister.gov/documents/2016/04/13/2016-08519/mine-safety-and-health-research-advisory-committee-national-institute-for-occupational-safety-and,https://www.gpo.gov/fdsys/pkg/FR-2016-04-13/pdf/2016-08519.pdf,04/13/2016
Addition of Certain Persons and Modification to Entries on the Entity List; and Removal of Certain Persons From the Entity List,Rule,Commerce Department; Industry and Security Bureau,"This rule amends the Export Administration Regulations (EAR) by adding forty-four persons under forty-nine entries to the Entity List. The forty-four persons who are added to the Entity List have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States. These forty- four persons will be listed on the Entity List under the destinations of China, Germany, Hong Kong, India, Iran, Malaysia, the Netherlands, Singapore, Switzerland, and the United Arab Emirates (U.A.E.). This final rule also removes five entities from the Entity List under the destinations of Ukraine and the U.A.E., as the result of requests for removal received by BIS, a review of information provided in the removal requests in accordance with the procedure for requesting removal or modification of an Entity List entity and further review conducted by the End-User Review Committee (ERC). Finally, this final rule modifies two existing entries in the Entity List, both under the destination of China. These entries are being modified to reflect additional aliases and addresses for these persons. BIS implements this rule to protect U.S. national security or foreign policy interests and to ensure entries on the Entity List are accurate and up-to-date.", 2016-06406,https://www.federalregister.gov/documents/2016/03/21/2016-06406/addition-of-certain-persons-and-modification-to-entries-on-the-entity-list-and-removal-of-certain,https://www.gpo.gov/fdsys/pkg/FR-2016-03-21/pdf/2016-06406.pdf,03/21/2016
Open Meeting of the Information Security and Privacy Advisory Board,Notice,Commerce Department; National Institute of Standards and Technology,"The Information Security and Privacy Advisory Board (ISPAB) will meet Wednesday, October 21, 2015, from 8:30 a.m. until 5:00 p.m. Eastern Time, Thursday, October 22, 2015, from 8:30 a.m. until 5:00 p.m. Eastern Time, and Friday, October 23, 2015, from 8:30 a.m. until 12:00 p.m. Eastern Time. All sessions will be open to the public.", 2015-23081,https://www.federalregister.gov/documents/2015/09/15/2015-23081/open-meeting-of-the-information-security-and-privacy-advisory-board,https://www.gpo.gov/fdsys/pkg/FR-2015-09-15/pdf/2015-23081.pdf,09/15/2015
"Smart Cities Infrastructure Business Development Mission to India; February 8-12, 2016",Notice,Commerce Department; International Trade Administration,"The United States Department of Commerce, International Trade Administration (ITA) is organizing an Executive-led Smart Cities Infrastructure Business Development Mission to India (New Delhi, Mumbai and Chennai, with an optional spin off site visit to Vizag) from February 8-12, 2016. Today, India's cities account for approximately 60% of the country's Gross Domestic Product (GDP). By 2030, that share is expected to reach 75% and the urban labor force is expected to increase by nearly 200 million workers. The new Indian Government led by Prime Minister Modi assumed office in June 2014 with an overwhelming mandate to focus on economic development. To capture the popular imagination and motivate the people of India, the new government has proposed a dramatic nationwide program to build 100 smart cities. In practice this will mean a wide variety of major infrastructure projects across the country that will be funded by the central and state governments over the next few years along with private sector capital. Infrastructure needs in India are estimated to be in the $1.5-$2 trillion range. The recently launched initiative will move to define and implement reforms that drive the growth of smart cities. At this stage, the government has highlighted resource management, 24 hour water and power supply, world class transportation systems, state of the art education systems, advanced e-government, and environmental sustainability as pillars of India's smart cities. This initiative offers excellent opportunities for U.S. companies to participate in these projects in selected areas and sectors. In recognition of cutting-edge U.S. technologies, products and services, the Government of India is encouraging the U.S. Government (USG) and U.S. companies to take the lead in developing smart city projects in three major urban areas: Ajmer in the state of Rajasthan, Allahabad in the state of Uttar Pradesh, Vishakhapatnam (aka Vizag) in the state of Andhra Pradesh. With the support of the U.S. Trade and Development Agency, U.S. companies will be involved in planning and technical assistance for each of these cities. However, U.S. participation is not limited to these three cities. CS India, in partnership with the American Chamber of Commerce and other local commercial chambers, has been staging events throughout the country in cities with additional public and private smart city projects.", 2015-19123,https://www.federalregister.gov/documents/2015/08/04/2015-19123/smart-cities-infrastructure-business-development-mission-to-india-february-8-12-2016,https://www.gpo.gov/fdsys/pkg/FR-2015-08-04/pdf/2015-19123.pdf,08/04/2015
Stakeholder Engagement on Cybersecurity in the Digital Ecosystem,Notice,Commerce Department; National Telecommunications and Information Administration,"The Department of Commerce Internet Policy Task Force (IPTF) is requesting comment to identify substantive cybersecurity issues that affect the digital ecosystem and digital economic growth where broad consensus, coordinated action, and the development of best practices could substantially improve security for organizations and consumers. The IPTF invites public comment on these issues from all stakeholders with an interest in cybersecurity, including the commercial, academic and civil society sectors, and from relevant federal, state, local, and tribal entities.", 2015-06344,https://www.federalregister.gov/documents/2015/03/19/2015-06344/stakeholder-engagement-on-cybersecurity-in-the-digital-ecosystem,https://www.gpo.gov/fdsys/pkg/FR-2015-03-19/pdf/2015-06344.pdf,03/19/2015
