title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
Economic Development Administration Regulatory Revision,Rule,Commerce Department; Economic Development Administration,"The Economic Development Administration (``EDA'' or ``Agency''), U.S. Department of Commerce (``DOC''), is amending its regulations implementing the Public Works and Economic Development Act of 1965, as amended (``PWEDA''). These comprehensive changes are intended to reflect EDA's current practices and policies in administering its economic development assistance programs.", 2014-28806,https://www.federalregister.gov/documents/2014/12/19/2014-28806/economic-development-administration-regulatory-revision,https://www.gpo.gov/fdsys/pkg/FR-2014-12-19/pdf/2014-28806.pdf,12/19/2014
"Joint Department of Commerce and Department of Energy: Smart Cities-Smart Growth Business Development Mission to China-April 12-17, 2015",Notice,Commerce Department; International Trade Administration,"", 2014-29015,https://www.federalregister.gov/documents/2014/12/11/2014-29015/joint-department-of-commerce-and-department-of-energy-smart-cities-smart-growth-business-development,https://www.gpo.gov/fdsys/pkg/FR-2014-12-11/pdf/2014-29015.pdf,12/11/2014
"Notice of Public Hearing for the Draft Environmental Impact Statement for the Disposal and Reuse of Former Naval Weapons Station Seal Beach, Detachment Concord, Concord, California",Notice,Defense Department; Navy Department,"Pursuant to the National Environmental Policy Act (NEPA) of 1969 (Pub. L. 91-190, 42 United States Code [U.S.C.] 4321-4347), as implemented by the Council on Environmental Quality Regulations implementing NEPA (40 Code of Federal Regulations [CFR] parts 1500- 1508), the Department of the Navy (DoN) has prepared and filed the Draft Environmental Impact Statement (EIS) to evaluate the potential environmental consequences associated with the disposal of the former Naval Weapons Station Seal Beach, Detachment Concord, Concord, California (NWS Concord), and its subsequent reuse by the local community. The DoN is initiating a 45-day public comment period to provide the community an opportunity to comment on the Draft EIS. Federal, state, and local elected officials and agencies and the public are encouraged to provide written comments. A public meeting will also be held to provide information and receive written comments on the Draft EIS. Dates and Addresses: An open house public meeting will be held at the location listed below and will allow individuals to review and comment on the information presented in the Draft EIS. DoN representatives will be available during the open house to clarify information presented in the Draft EIS as necessary. There will not be a formal presentation.", 2014-24286,https://www.federalregister.gov/documents/2014/10/10/2014-24286/notice-of-public-hearing-for-the-draft-environmental-impact-statement-for-the-disposal-and-reuse-of,https://www.gpo.gov/fdsys/pkg/FR-2014-10-10/pdf/2014-24286.pdf,10/10/2014
Cooperative Agreement to Support the Food and Agriculture Organization,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is announcing its intention to receive and consider a single source application for award of a cooperative agreement in fiscal year 2013 to the Food and Agriculture Organization (FAO) of the United Nations to support global strategies that address food safety and public health. The goal of this collaborative project between FDA and FAO is to contribute to the knowledge base and development of food safety systems globally due to the increasingly diverse and complex food supply. The project is also designed to enhance and broaden FDA's ability to address global food safety and public health issues associated with food as well as provide opportunities to leverage additional resources of other countries. The collaborative project will also support the FDA's implementation of the FDA Food Safety Modernization Act (FSMA), including FDA's International Food Safety Capacity Building Plan, which emphasizes the concept of preventing food safety-related problems before they occur and the importance of establishing strong relationships and mutual support among all stakeholders, including multilateral organizations, to improve worldwide food safety. In addition, the collaborative project will support food safety, nutrition, and public health programs that align with FDA's mission.", 2013-18631,https://www.federalregister.gov/documents/2013/08/02/2013-18631/cooperative-agreement-to-support-the-food-and-agriculture-organization,https://www.gpo.gov/fdsys/pkg/FR-2013-08-02/pdf/2013-18631.pdf,08/02/2013
Endangered and Threatened Wildlife; Determination on Whether To List the Ribbon Seal as a Threatened or Endangered Species,Notice,Commerce Department; National Oceanic and Atmospheric Administration,"We, NMFS, have completed a comprehensive status review of the ribbon seal (Histriophoca fasciata) under the Endangered Species Act (ESA). Based on the best scientific and commercial data available, including the Biological Review Team's (BRT's) status review report, we conclude that listing the ribbon seal as threatened or endangered under the ESA is not warranted at this time. We also announce the availability of the ribbon seal status review report.", 2013-16601,https://www.federalregister.gov/documents/2013/07/10/2013-16601/endangered-and-threatened-wildlife-determination-on-whether-to-list-the-ribbon-seal-as-a-threatened,https://www.gpo.gov/fdsys/pkg/FR-2013-07-10/pdf/2013-16601.pdf,07/10/2013
"Energy and Environment Trade Mission to Malaysia, Thailand and the Philippines",Notice,Commerce Department; International Trade Administration,"", 2013-05963,https://www.federalregister.gov/documents/2013/03/15/2013-05963/energy-and-environment-trade-mission-to-malaysia-thailand-and-the-philippines,https://www.gpo.gov/fdsys/pkg/FR-2013-03-15/pdf/2013-05963.pdf,03/15/2013
2017 and Later Model Year Light-Duty Vehicle Greenhouse Gas Emissions and Corporate Average Fuel Economy Standards,Rule,Environmental Protection Agency; Transportation Department; National Highway Traffic Safety Administration,"EPA and NHTSA, on behalf of the Department of Transportation, are issuing final rules to further reduce greenhouse gas emissions and improve fuel economy for light-duty vehicles for model years 2017 and beyond. On May 21, 2010, President Obama issued a Presidential Memorandum requesting that NHTSA and EPA develop through notice and comment rulemaking a coordinated National Program to improve fuel economy and reduce greenhouse gas emissions of light-duty vehicles for model years 2017-2025, building on the success of the first phase of the National Program for these vehicles for model years 2012-2016. This final rule, consistent with the President's request, responds to the country's critical need to address global climate change and to reduce oil consumption. NHTSA is finalizing Corporate Average Fuel Economy standards for model years 2017-2021 and issuing augural standards for model years 2022-2025 under the Energy Policy and Conservation Act, as amended by the Energy Independence and Security Act. NHTSA will set final standards for model years 2022-2025 in a future rulemaking. EPA is finalizing greenhouse gas emissions standards for model years 2017- 2025 under the Clean Air Act. These standards apply to passenger cars, light-duty trucks, and medium-duty passenger vehicles, and represent the continuation of a harmonized and consistent National Program. Under the National Program automobile manufacturers will be able to continue building a single light-duty national fleet that satisfies all requirements under both programs while ensuring that consumers still have a full range of vehicle choices that are available today. EPA is also finalizing minor changes to the regulations applicable to model years 2012-2016, with respect to air conditioner performance, nitrous oxides measurement, off-cycle technology credits, and police and emergency vehicles.", 2012-21972,https://www.federalregister.gov/documents/2012/10/15/2012-21972/2017-and-later-model-year-light-duty-vehicle-greenhouse-gas-emissions-and-corporate-average-fuel,https://www.gpo.gov/fdsys/pkg/FR-2012-10-15/pdf/2012-21972.pdf,10/15/2012
Announcement of the Award of Two Single-Source Program Expansion Supplements to Grantees Under the Pathways to Responsible Fatherhood Grants,Notice,Health and Human Services Department; Children and Families Administration,"The Administration for Children and Families (ACF), Office of Family Assistance (OFA), Division of State and Territory TANF Management (DSTTM) announces the award of single-source program expansion supplement grants of $131,666 each to Kanawha Institute for Social Research & Action (KISRA) in Dunbar, WV, and Connections to Success in Kansas City, MO. Connections to Success and KISRA offer community-centered, comprehensive approaches to promoting responsible fatherhood, and activities designed to promote economic stability, subsidized employment, and supportive services. The primary purpose of the projects is to eliminate barriers for fathers to achieve social and economic self-sufficiency through subsidized employment, including individuals preparing to reenter their communities or those who have recently returned to their communities following incarceration. Both projects implement three legislatively specified activities: healthy marriage, responsible parenting, and economic stability.", 2012-25561,https://www.federalregister.gov/documents/2012/10/17/2012-25561/announcement-of-the-award-of-two-single-source-program-expansion-supplements-to-grantees-under-the,https://www.gpo.gov/fdsys/pkg/FR-2012-10-17/pdf/2012-25561.pdf,10/17/2012
Corrosion-Resistant Carbon Steel Flat Products From the Republic of Korea: Preliminary Results of Countervailing Duty Administrative Review,Notice,Commerce Department; International Trade Administration,"The Department of Commerce (the Department) is conducting an administrative review of the countervailing duty (CVD) order on corrosion-resistant carbon steel flat products (CORE) from the Republic of Korea (Korea) for the period of review (POR) January 1, 2010, through December 31, 2010. For information on the net subsidy for Dongbu Steel Co., Ltd. (Dongbu), Hyundai HYSCO Ltd. (HYSCO), and Pohang Iron & Steel Co. Ltd. (POSCO), for the companies reviewed, see the ``Preliminary Results of Review'' section of this notice. Interested parties are invited to comment on these preliminary results.\1\ ---------------------------------------------------------------------------", 2012-23399,https://www.federalregister.gov/documents/2012/09/21/2012-23399/corrosion-resistant-carbon-steel-flat-products-from-the-republic-of-korea-preliminary-results-of,https://www.gpo.gov/fdsys/pkg/FR-2012-09-21/pdf/2012-23399.pdf,09/21/2012
FY 2012 Discretionary Livability Funding Opportunity: Alternatives Analysis Program,Notice,Transportation Department; Federal Transit Administration,"The Federal Transit Administration (FTA) announces the availability of Section 5339 Alternatives Analysis program discretionary funds for Fiscal Year (FY) 2012. FTA will distribute these funds in accordance with the mission of this program, consistent with the eligibility requirements of this program, and in support of the U.S. Department of Transportation's (DOT) livability efforts. The Surface and Air Transportation Programs Extension Act of 2011 (Temporary Authorization, 2012), Public Law 112-30, continues the authorization of the Federal transit programs of the U.S. DOT through March 31, 2012. Subject to action by Congress, FTA will fund the Alternatives Analysis program with approximately $25 million of unallocated Section 5339 funds made available by the Temporary Authorization. This notice solicits proposals to compete for FY 2012 funding under the aforementioned program and livability initiative. Contingent on subsequent appropriations by Congress, FTA may also award FY 2013 funds to proposals submitted pursuant to this notice. This notice includes priorities established by FTA for these discretionary funds, the criteria FTA will use to identify meritorious projects for funding, and describes how to apply for funding. This announcement is available on the FTA Web site at: http:// www.fta.dot.gov. A synopsis of the funding opportunity will be posted in the FIND module of the government-wide electronic grants Web site at http://www.GRANTS.GOV. FTA will announce final selections on the FTA Web site and may also announce selections in the Federal Register.", 2012-5895,https://www.federalregister.gov/documents/2012/03/12/2012-5895/fy-2012-discretionary-livability-funding-opportunity-alternatives-analysis-program,https://www.gpo.gov/fdsys/pkg/FR-2012-03-12/pdf/2012-5895.pdf,03/12/2012
"FY 2012 Discretionary Funding Opportunities: Bus and Bus Facilities Programs (State of Good Repair and Bus Livability Initiatives) and Clean Fuels Grant Program, Augmented With Discretionary Bus and Bus Facilities Program Funds",Notice,Transportation Department; Federal Transit Administration,"The Federal Transit Administration (FTA) announces the availability of Section 5309 Bus and Bus Facilities Program and Section 5308 Clean Fuels Program discretionary funds in Fiscal Year (FY) 2012. There are two initiatives under the Bus and Bus Facilities capital program: (1) State of Good Repair Initiative (SGR) and (2) Bus Livability Initiative. FTA will distribute funds in support of the U.S. Department of Transportation's (DOT) state of good repair, livability, and environmental sustainability efforts. The Surface and Air Transportation Programs Extension Act of 2011 (Temporary Authorization, 2012) continues the authorization of the Federal transit programs of the U.S. Department of Transportation (DOT) through March 31, 2012, and provides contract authority for these programs equal to approximately one half of the amounts available in FY 2011. Subject to funding availability by Congress, FTA will fund the SGR and Bus Livability Initiatives with approximately $775 million ($650 million for SGR and $125 million for Bus Livability) of unallocated Section 5309 Bus and Bus Facilities Program funds, authorized by 49 U.S.C. 5309(b) as amended by Section 3011 of the Safe, Accountable, Flexible, Efficient, Transportation Equity Act: A Legacy for Users (SAFETEA-LU), Public Law 109-59, August 10, 2005 and its extensions. Subject to funding availability, FTA will make available approximately $51.5 million from its FY 2012 Section 5308 Clean Fuels Program to fund projects from non-attainment areas selected through the Clean Fuels competition supplemented with additional Bus and Bus Facilities program resources, as available for attainment areas. This notice solicits proposals to compete for FY 2012 funding under the aforementioned program and initiatives. Based on the timing of Congressional appropriations and extensions of SAFETEA-LU, FTA may award FY 2013 funding to proposals submitted under this notice. This notice includes priorities established by FTA for these discretionary funds, the criteria FTA will use to identify meritorious projects for funding, and describes how to apply for funding under each discretionary program. This announcement is available on the FTA Web site at: http: //www.fta.dot.gov. A synopsis of each funding opportunity will be posted in the FIND module of the government-wide electronic grants Web site at http: //www.GRANTS.GOV. FTA will announce final selections on the FTA Web site and may also announce selections in the Federal Register.", 2012-2752,https://www.federalregister.gov/documents/2012/02/07/2012-2752/fy-2012-discretionary-funding-opportunities-bus-and-bus-facilities-programs-state-of-good-repair-and,https://www.gpo.gov/fdsys/pkg/FR-2012-02-07/pdf/2012-2752.pdf,02/07/2012
Major Capital Investment Projects,Proposed Rule,Transportation Department; Federal Transit Administration,This notice of proposed rulemaking (NPRM) proposes a new regulatory framework for FTA's evaluation and rating of major new transit investments seeking funding under the discretionary ``New Starts'' and ``Small Starts'' programs. This notice of proposed rulemaking is being published concurrently with a Notice of Availability of proposed guidance that proposes new measures and methods for calculating the project justification and local financial commitment criteria specified in statute and this proposed rule. FTA seeks public comment on both this proposed rule and the proposed guidance., 2012-1198,https://www.federalregister.gov/documents/2012/01/25/2012-1198/major-capital-investment-projects,https://www.gpo.gov/fdsys/pkg/FR-2012-01-25/pdf/2012-1198.pdf,01/25/2012
Economic Development Administration Regulatory Revision,Proposed Rule,Commerce Department; Economic Development Administration,"Through this notice of proposed rulemaking (``NPRM''), the Economic Development Administration (``EDA''), U.S. Department of Commerce (``DOC''), proposes and requests comments on updates to the agency's regulations implementing the Public Works and Economic Development Act of 1965, as amended (``PWEDA''). On February 1, 2011, EDA published a notice requesting comments on improving the regulations. A 70-day public comment period followed from February 1, 2011 through April 11, 2011, during which EDA received approximately 170 comments. In addition, EDA conducted an internal review of its regulations. This NPRM addresses and incorporates public comments and agency staff suggestions to present an updated set of proposed regulations that reflects the agency's current practices and policies in administering its economic development assistance programs. For convenience, the full text of EDA's regulations as amended is available on EDA's Web site at http://www.eda. gov/.", 2011-30578,https://www.federalregister.gov/documents/2011/12/07/2011-30578/economic-development-administration-regulatory-revision,https://www.gpo.gov/fdsys/pkg/FR-2011-12-07/pdf/2011-30578.pdf,12/07/2011
2017 and Later Model Year Light-Duty Vehicle Greenhouse Gas Emissions and Corporate Average Fuel Economy Standards,Proposed Rule,Environmental Protection Agency; Transportation Department; National Highway Traffic Safety Administration,"EPA and NHTSA, on behalf of the Department of Transportation, are issuing this joint proposal to further reduce greenhouse gas emissions and improve fuel economy for light-duty vehicles for model years 2017-2025. This proposal extends the National Program beyond the greenhouse gas and corporate average fuel economy standards set for model years 2012-2016. On May 21, 2010, President Obama issued a Presidential Memorandum requesting that NHTSA and EPA develop through notice and comment rulemaking a coordinated National Program to reduce greenhouse gas emissions of light-duty vehicles for model years 2017- 2025. This proposal, consistent with the President's request, responds to the country's critical need to address global climate change and to reduce oil consumption. NHTSA is proposing Corporate Average Fuel Economy standards under the Energy Policy and Conservation Act, as amended by the Energy Independence and Security Act, and EPA is proposing greenhouse gas emissions standards under the Clean Air Act. These standards apply to passenger cars, light-duty trucks, and medium- duty passenger vehicles, and represent a continued harmonized and consistent National Program. Under the National Program for model years 2017-2025, automobile manufacturers would be able to continue building a single light-duty national fleet that satisfies all requirements under both programs while ensuring that consumers still have a full range of vehicle choices. EPA is also proposing a minor change to the regulations applicable to MY 2012-2016, with respect to air conditioner performance and measurement of nitrous oxides.", 2011-30358,https://www.federalregister.gov/documents/2011/12/01/2011-30358/2017-and-later-model-year-light-duty-vehicle-greenhouse-gas-emissions-and-corporate-average-fuel,https://www.gpo.gov/fdsys/pkg/FR-2011-12-01/pdf/2011-30358.pdf,12/01/2011
Corrosion-Resistant Carbon Steel Flat Products From the Republic of Korea: Preliminary Results of Countervailing Duty Administrative Review,Notice,Commerce Department; International Trade Administration,"The Department of Commerce (the Department) is conducting an administrative review of the countervailing duty (CVD) order on corrosion-resistant carbon steel flat products (CORE) from the Republic of Korea (Korea) for the period of review (POR) January 1, 2009, through December 31, 2009. For information on the net subsidy for Hyundai HYSCO Ltd. (HYSCO), the company reviewed, see the ``Preliminary Results of Review'' section of this notice. Interested parties are invited to comment on these preliminary results. See the ``Public Comment'' section of this notice.", 2011-22325,https://www.federalregister.gov/documents/2011/08/31/2011-22325/corrosion-resistant-carbon-steel-flat-products-from-the-republic-of-korea-preliminary-results-of,https://www.gpo.gov/fdsys/pkg/FR-2011-08-31/pdf/2011-22325.pdf,08/31/2011
FY 2011 Discretionary Livability Funding Opportunity; Section 5309 Bus and Bus Facilities Livability Initiative Program Grants and Section 5339 Alternatives Analysis Program,Notice,Transportation Department; Federal Transit Administration,"The Federal Transit Administration (FTA) announces the availability of discretionary funds in Fiscal Year (FY) 2011 for two programs in support of the Department of Transportation's (DOT) Livability Initiative: the Bus and Bus Facilities grant funds (49 U.S.C. 5309(b)) (``Bus Livability Program'') and the Alternatives Analysis Program (49 U.S.C. 5339), both authorized by the Safe, Accountable, Flexible, Efficient, Transportation Equity Act: A legacy for Users (SAFETEA-LU), Pub. L. 109-59, August 10, 2005. The Bus Livability Program will be funded using at least $150 million in available FY 2011 Discretionary Bus and Bus Facilities Program funds. The Alternatives Analysis program will be funded using up to $25 million in FY 2010 and FY2011 discretionary funds. These discretionary program funds will be distributed in accordance with the mission of each program and in support of the U.S. DOT's Livability Initiative and the Partnership for Sustainable Communities between the U.S. DOT, the U.S. Department of Housing and Urban Development (HUD), and the U.S. Environmental Protection Agency (EPA). Please note that this notice is one of several discretionary funding opportunities that FTA intends to issue by early Fall 2011. This notice includes priorities established by FTA for these discretionary funds, the criteria FTA will use to identify meritorious projects for funding, and describes how to apply for funding under each discretionary program. This announcement is available on the FTA Web site at: http://www.fta.dot.gov. FTA will announce final selections for each program on the Web site and in the Federal Register. Additionally, a synopsis of each funding opportunity will be posted in the FIND module of the government-wide electronic grants Web site at http://www.grants.gov.", 2011-16015,https://www.federalregister.gov/documents/2011/06/27/2011-16015/fy-2011-discretionary-livability-funding-opportunity-section-5309-bus-and-bus-facilities-livability,https://www.gpo.gov/fdsys/pkg/FR-2011-06-27/pdf/2011-16015.pdf,06/27/2011
