id,agency,date,awardee,affiliation,title,fund,publicAccess,report
1040735,NSF,08/26/2010,Dipankar Raychaudhuri,Rutgers University New Brunswick,FIA:  Collaborative Research: MobilityFirst: A Robust and Trustworthy Mobility-Centric Architecture for the Future Internet,3339000,True,| The MobilityFirst project started in Sept 2010 as a collaborative, multi-institutional research initiative under the NSF FIA (Future Internet Architecture) program.  The overall goal of the project was to design and validate a clean-slate mobility-centric and trustworthy architecture for the future Internet.  The scope of research included specification of the proposed new network architecture, detailed design and verification of key protocol components, analysis of economic and policy aspects, evaluation of network security and privacy, system-level prototyping and validation of the network as a whole, and "real-world" testbed deployments for evaluation by application developers and end-users.  The project has largely achieved the original goals, producing a full MobilityFirst protocol specification and proof-of-concept implementation centered around the following key concepts: (1) separation of the names of network objects from network addresses; (2) public-key-based GUIDs (globally unique identifiers) for all Internet-attached objects, assigned by multiple independent name certification providers; (3) name (i.e. GUID) based protocol layer as the "narrow waist" of the protocol with support for advanced services such as dynamic mobility, disconnection tolerance, multicast, multi-homing, content retrieval and context-aware message delivery; (4) Global name resolution service (GNS) for dynamic binding of names to network addresses; (5) New inter-domain and intra-domain routing protocols with in-network storage, hop-by-hop transport, edge-awareness and late binding capabilities; (5) Separate management plane instrumented for visibility of network performance and resource usage; and (6) Computing layer for optional in-network service features.   Results from the project include detailed design and evaluation of the above mentioned core protocol components, including the global name service (GNS), the intra- and inter-domain routing (GSTAR and EIR), hop-by-hop transport layer protocol, in-network compute layer and service API.  The global name service has been identified as the critical new component of the architecture, motivating two complementary GNS designs (Auspice at UMass and DMap at Rutgers) and both these alternatives have been successfully prototyped and validated at a reasonably large scale.  The storage-aware routing protocol proposed for MobilityFirst is the other core technology component which has been evaluated in depth during the course of this project, resulting in a baseline intra-domain routing protocol (GSTAR) and two alternative inter-domain routing approaches (EIR and hierarchical routing).  An optional in-network compute layer service has also been developed and validated at the initial proof-of-concept level. A key outcome that has emerged from this effort is a simple but deep architectural insight, namely, that a logically centralized global name service (GNS) can significantly enhance mobility, security, and transform network-layer functionality. In addition to architecture and core protocol design, the team has worked on validating the MobilityFirst protocol stack over a set of representative mobile Internet use cases including: (a) mobile data services over heterogeneous WiFi/cellular networks; (b) content retrieval and delivery to/from both fixed and mobile users; (c) context-aware message delivery services; and (d) machine-to-machine (M2M), sensor network and Internet-of-Things (IoT) applications; (e) vehicular networking applications.  These use cases have been mapped to service features in the MobilityFirst protocol stack and are being used as reference models for evaluating protocol performance.  Demonstration systems for some of these use cases have also been built.  In parallel to the above design and analysis activities, the project team engaged in a significant experimental validation and proof-of-concept effort for the MobilityFirst network as a whole.  This effort has led to a series of succ...|
1652669,NSF,02/08/2017,Ting Zhu,University of Maryland Baltimore County,CAREER: Synergistic Cross-IoT N-Way Sensing using Wireless Traffic in the Edge,93548,True,
1455794,NSF,08/27/2014,Beichuan Zhang,University of Arizona,EAGER: Collaborative Research: Smart Home Networking via NDN,124994,True,| With the fast growth of smart appliances and smart devices at home, the concept of smart homes has come a long way in recent years. As a result, home networking is transforming from the simplest local area network to one of the most heterogeneous networks supporting intelligent applications that will revolutionize how we live. This emerging smart home environment, however, poses serious challenges to conventional TCP/IP based technologies.      In this EAGER project, we take a fresh look of smart-home networks, and explores novel ways to make them secure, easy-to-use, and efficient. Specifically, we apply Named Data Networking (NDN), an emerging new network architecture, in smart-home networks to fully take advantage of NDN's benefits such as address independence, data security, and in-network caching.      To understand the challenges in current TCP/IP technologies and inform the NDN-Home research, we survey the existing Internet-of-Things (IoT) related standards developed by IETF and summarized the technical challenges encountered at each layer of the network stack.  Some of those challenges stem from the artifact that TCP/IP protocol stack was originally developed for desktop computers and networks that exhibit very different characteristics from the IoT devices, but other challenges are fundamentally caused by the point-to-point communication model of IP, such as the overhead of mesh network routing and TLS/DTLS secured channel setup.  We also identify a recent trend that IoT systems start to converge on a network architecture based on the RESTful communication model with naming, caching, and object security built into the application layer, which essentially realizes a data-centric overlay on top of IP networks.  This observation confirms that NDN is indeed the right approach to smart-homes and IoT networking.       We implement NDN on a number of embedded systems that can be used to build smart-home devices. These systems include Raspberry Pi, Android, home routers, Arduino, a microcontroller, and RIOT, which is a popular operting system used in Internet-of-Things. Based on these platforms, we develop prototypes of home lighting control, home video surveillance systems, and home entertainment systems.      Through these applications and system development, we gained experinece of how to turn smart-home networking into data-centric, and how to adapt to limited computing resources that often exist in this kind of environment. We design mechanisms for device bootstrapping, service discovery, and data access control. In particular, we design a scalable acess control mechanism called "NDN-ACE", which is much more computationally efficient and scalable than the default access control mechanism in NDN.     With these experiences on specific mechanism design and implemenations, we articulate our vision of future smart-home and IoT networking as "Named Data Networking of Things." Using IP and similar protocols as the narrow waist of interoperability for IoT requires managing data exchange and security in terms that are largely orthogonal to application semantics, while simultaneously needing to minimize resource usage. NDN can address the root causes of these challenges and can help achieve the IoT vision in a more secure, straightforward, and innovation-friendly manner. NDN?s data-centric communication model aligns network and application semantics, enabling developers to work with "things" and their data directly, and for IoT networks to be deployed and configured easily. This high-level vision is substantiated by our work in device bootstrapping, service discovery, name-based trust and access contro, data aggregation and publish-subscribe, data dissemination through sync, and easy integration with the global NDN Internet.     There are two major broader impacts. First, this project develops viable, long-term solutions to an emerging network environment that has been recognized by many industry experts. Since there is no mature IP-based solution on the market yet, an NDN-based solution would have significant impacts. Second, in the process of solving an important problem, this area can provide an opportunity for NDN deployment. Unlike in traditional ISP networks, deployment in home networks doesn?t require coordination among networks. The deployment and its benefits are both local to the home users, which may start an grassroots rollout of NDN.                  Last Modified: 02/16/2017       Submitted by: Beichuan Zhang|
1516130,NSF,02/05/2015,David Clark,Massachusetts Institute of Technology,Workshop: FIA Investigator Meeting Fall 2014,20935,True,| This award supported one in the series of Future Internet Architecture investigator workshops, held in Fall 2014. This specific workshop had the goal of exploring the larger societal context in which an Internet will sit. The agenda was organized by the Values in Design Council (see http://www.nyu.edu/projects/nissenbaum/vid/vidcouncil.html), an NSF-funded group of people from various of the social sciences. The agenda was organized around four use cases for a future Internet, which were presented by members of the ViD Council, in order to frame a response by each team of FIA grant recipients. The four use cases were   Incidental data / metadata: To what extent can a network architecture support user applications that make its users as impervious to tracking and surveillance from outside parties.  Access and Approval:A startup is producing a fleet of satellites that will  provide daily hi-res photos of every part of the earth's surface. How can they deal with potentially abusive use of the information captured in these photos?  Online Identities: To what extent should a network provide strong tracking of user identity?   Internet of Things:Using tracking of real-time medical data as an example, what sort of network services will facilitate the reliable and trustworthy operation of life-critical sensor systems?   A longer description of each use case and the discussion questions can be found at the Future Internet Architecture Web site: http://www.nets-fia.net/Meetings/Fall14/Agenda. A summary of the meeting can be found at the Values in Design Council web site at https://valuesindesign.files.wordpress.com/2014/07/november-2014-fia-meeting-report.pdf.  Many of these scenarios served to bring out the important distinction between a network as a data transport service and the applications that run on top of that service. Different proposals for an Internet shift functions (such as naming of data or people) from the application to the network layer, and these design choices have important implications for the societal consequences of the design.          Last Modified: 06/11/2016       Submitted by: David D Clark|
1646392,NSF,09/13/2016,Atul Prakash,University of Michigan Ann Arbor,CPS: Synergy: Collaborative Research: Support for Security and Safety of Programmable IoT Systems,447912,True,
1455850,NSF,08/27/2014,Lixia Zhang,University of California-Los Angeles,EAGER: Collaborative Research: Smart Home Networking via NDN,124893,True,| With the fast growth of smart appliances and smart devices at home, the concept of smart homes has come a long way in recent years. As a result, home networking is transforming from the simplest local area network to one of the most heterogeneous networks supporting intelligent applications that will revolutionize how we live. This emerging smart home environment, however, poses serious challenges to conventional TCP/IP based technologies. In this EAGER project, we take a fresh look of smart-home networks, and explore novel ways to make them secure, easy-to-use, and efficient. Specifically, we apply Named Data Networking (NDN), an emerging new network architecture, in smart-home networks to fully take advantage of NDN's benefits such as address independence, data security, and in-network caching.   To understand the challenges in current TCP/IP technologies and inform the NDN-Home research, we survey the existing Internet-of-Things (IoT) related standards developed by IETF and summarize the technical challenges encountered at each layer of the network stack.  Some of those challenges stem from the artifact that TCP/IP protocol stack was originally developed for desktop computers and networks that exhibit very different characteristics from the IoT devices, but other challenges are fundamentally caused by the point-to-point communication model of IP, such as the overhead of mesh network routing and TLS/DTLS secured channel setup.  We also identify a recent trend that IoT systems start to converge on a network architecture based on the RESTful communication model with naming, caching, and object security built into the application layer, which essentially realizes a data-centric overlay on top of IP networks.  This observation confirms that NDN is indeed the right approach to smart-homes and IoT networking.    We implement NDN on a number of embedded systems that can be used to build smart-home devices. These systems include Raspberry Pi, Android, home routers, Arduino, a microcontroller, and RIOT, which is a popular operating system used in Internet-of-Things. Based on these platforms, we develop prototypes of home lighting control, home video surveillance systems, and home entertainment systems.  Through these applications and system development, we gained experience of how to turn smart-home networking into data-centric, and how to adapt to limited computing resources that often exist in this kind of environment. We design mechanisms for device bootstrapping, service discovery, and data access control. In particular, we design a scalable access control mechanism called "NDN-ACE", which is much more computationally efficient and scalable than the default access control mechanism in NDN. With these experiences on specific mechanism design and implementations, we articulate our vision of future smart-home and IoT networking as "Named Data Networking of Things." Using IP and similar protocols as the narrow waist of interoperability for IoT requires managing data exchange and security in terms that are largely orthogonal to application semantics, while simultaneously needing to minimize resource usage. NDN can address the root causes of these challenges and can help achieve the IoT vision in a more secure, straightforward, and innovation-friendly manner. NDN?s data-centric communication model aligns network and application semantics, enabling developers to work with "things" and their data directly, and for IoT networks to be deployed and configured easily. This high-level vision is substantiated by our work in device bootstrapping, service discovery, name-based trust and access contro, data aggregation and publish-subscribe, data dissemination through sync, and easy integration with the global NDN Internet.  There are two major broader impacts. First, this project develops viable, long-term solutions to an emerging network environment that has been recognized by many industry experts. Since there is no mature IP-based solution on the market yet, an NDN-based solution could make significant impacts. Second, in the process of solving an important problem, this area can provide an opportunity for NDN deployment. Unlike in traditional ISP networks, deployment in home networks does not require coordination among networks. The deployment and its benefits are both local to the home users, which may start an grassroots rollout of NDN.          Last Modified: 02/25/2017       Submitted by: Lixia Zhang|
1652389,NSF,03/16/2017,Attila Yavuz,Oregon State University,CAREER: Light-Weight and Fast Authentication for Internet of Things,96254,True,
1702957,NSF,04/03/2017,Shiwen Mao,Auburn University,WiFiUS: RF Sensing in Internet of Things: When Deep Learning Meets CSI Tensor,299994,True,
1659887,NSF,03/14/2017,Nalini Venkatasubramanian,University of California-Irvine,REU Site: Cultivating the IoT-enabled Smart Community (IoT-SITY),279994,True,
1040020,NSF,08/26/2010,William Lehr,Massachusetts Institute of Technology,FIA:  Collaborative Research: MobilityFirst: A Robust and Trustworthy Mobility-Centric Architecture for the Future Internet,250000,True,| The MobilityFirst (MF) project was a multidisciplinary, multi-university networking research project focused on developing a mobility-centric Future Internet Architecture (FIA). The MF-FIA was motivated by the recognition that the rise of mobile services, the Internet of Things, and related industry and market trends called for a new architectural paradigm that would enable more granular and dynamic control of all networking resources (i.e., more dynamic allocation of computing, storage, and transport resources in time, space, and context dimensions). This corresponds to the richer notion of mobility that lies at the heart of the MF-FIA.  In addition to requiring significant technical engineering work, realization of this expanded notion of mobility has potentially profound implications for the Internet industry ecosystem. This includes service providers, equipment makers, application developers, end-users, and policymakers. The MF-FIA will greatly expand the capabilities of Internet-based services, and thereby, help further the ways in which the Internet is inextricably embedded into our socio-economic lives. This further embedding raises the need for integrating social policy and economic considerations into the network design effort.  The focus of the economics and policy research work component of the MF project was to ensure that the MF architecture complied with the MF-FIA team's design principles of (1) Commercializability and (2) Regulability. The first refers to the notion that a good architecture ought to be economically viable. That is, that there exists a reasonable roadmap for deploying the architecture and that it is capable of supporting a reasonable industry structure and business models that have a reasonable prospect of profitability. The second principal seeks to ensure that the architecture is consistent with representative networking social policy goals such as supporting industry competition, innovation, and trustworthy (i.e., secure and privacy preserving) services. While it is impossible to predict the future precisely, these design principles helped the team understand how its technical choices might interact with the larger societal and economic environment in which the MF-FIA is expected to live. This work was on-going during the life of the project and has helped keep the project relevant and focused on real-world challenges.  Two aspects of the MF-FIA are worthy of special mention regarding their potential to impact industry structure and regulatory policies: (1) MF's empowerment of end-users to self-provision and manage their Internet access; and (2) the need to meet the increased demand for wireless spectrum from mobile devices of all sorts. The first of these holds promise in enabling a new vector for "last-mile" competition that could help alleviate concerns over bottleneck facilities that have motivated much of the public concern over Network Neutrality and open Internet access. The second of these requires transitioning to a new paradigm for spectrum management that will enable expanded options for spectrum sharing, and thereby promote greater efficiency in the use of scarce national Radio Frequency resources. The MF-FIA includes capabilities that contribute to each of these goals (e.g., support for multi-homing, scalable deployment of secure networking infrastructure, and naming architecture components that will prove useful in managing spectrum resources).  The economics and policy research work developed further thinking on the future requirements and industry/policy implications of emerging small cell architectures and to support more open models of shared access to spectrum on a more granular and dynamic basis.           Last Modified: 12/15/2014       Submitted by: William H Lehr|
1520579,NSF,06/25/2015,Michael Enescu,Energy Adaptive Networks Corporation,SBIR Phase I:  An IoT Gateway for Energy Application,150000,True,| Energy Adaptive Networks (EAN) has successfully completed the development of an IoT gateway for connected energy and other applications based on a NSF SBIR award.  Our vision is to bring adaptive networks technology in the global power grid and local microgrids in order to reduce power loss, minimize blackouts, and make energy accessible to anyone, anywhere, anytime. Our strategy was to develop an IoT gateway for energy applications such as high load or generation devices that can be monitored and controlled via applications developed or enabled by our technology. EAN has successfully implemented an edge network IoT gateway and proceeded to develop software applications that can be provisioned over the Internet such that power grid edge devices can be monitored, controlled, and load balanced in real time, at fast scale, with response times two or three orders of magnitude faster than current power grids allow.  Though our execution in was focused on both northbound (NB) systems, i.e., utility power grids above the last transformer, and southbound (SB), i.e., below the transformer specifically in residential or commercial buildings, consistent customer feedback predicated our primary focus on SB customers. We discovered that our assumptions about home owners, facilities operators, or enterprise campus were correct, our system architecture and deployment assumptions were consistent with the way they expected to install and operate connected energy devices. Consequently, EAN went beyond developing an IoT gateway and proceeded to include it in high load appliances such as electric vehicle (EV) level 2 chargers to be installed and operated by SB customers in local microgrids.  The overall system architecture developed by EAN is summarized in Figure 1. It consists of a three tier architecture: an EAN Cloud where software applications are developed by an ecosystem of commercial and open source software developers, to be deployed at the edge of the network, an EAN IoT Gateway used to host the EAN Cloud hosted applications, and a set of IoT connected devices, such as EV L2 Chargers that can be instrumented to transmit time series data to the EAN Gateway and in turn accept and execute commands that optimize energy consumption, minimizing power loss.  Recent IoT progress showed convincing evidence that customer adoption at the edge of the network (IoT), is 5 times the pace of electricity or telephone adoption.  However, the enablement of the network connectivity necessitates a multitude of wireless protocol standards and implementation already in place: IEEE802.11, IEEE802.15.4, IEEE P1901.2, GPRS, 3G, LTE, and a variety of emerging Low Energy Bluetooth protocols such as Thread, 6loPAN, ZigBee and others. Consequently, we developed the EAN IoT Gateway such that any protocol can be supported by provisioning adapters available for a wide range of connected devices. The EAN IoT Gateway can sense in fast time scale the essential power signals needed to monitor or control. Thus we developed our first prototype and built multiple units installed at various locations in California, Hawaii and Massachusetts. Early data collection from these devices and their location is shown in Figure 2. A typical time series data set is collected with the purpose of observing power signals and detecting anomalies than can be acted upon in sub-second response.  Leveraging the California Institute of Technology (Caltech) research work in Optimal Power Flow (OPF Figure 3), we started with a controller architecture that can be installed and run over networks of multiple local EV chargers controlled via EAN gateways. We discovered that a simpler and more practical problem to solve was the immediate application of a similar approach to EV charges, hence we applied the same methodology to developing an EV charging optimization algorithm now tested in a 40 device mesh on the Caltech campus in Pasadena, California as shown in Figure 4.  Thus performance guarantees are...|
1702952,NSF,04/03/2017,Henning Schulzrinne,Columbia University,WiFiUS: Collaborative Research: Scalable Edge Architecture for Massive Location-Aware Heterogeneous IoT Systems,149999,True,
1660259,NSF,04/06/2017,Craig Green,|Carbice Nanotechnologies, Inc.|,SBIR Phase II:  A Novel Heat Dissipation Product for Chip Testing and Internet of Things,746975,True,
1702950,NSF,04/03/2017,Nikil Dutt,University of California-Irvine,WiFiUS: IoCT-CARE: Internet of Cognitive Things for Personalized Healthcare,300000,True,
1616317,NSF,07/15/2016,Muhammad Shahzad,North Carolina State University,NeTS: Small: Fine-grained Measurement of Performance Metrics in the Internet of Things,449999,True,
1548471,NSF,11/20/2015,Jawad Nasrullah,|zGlue, Inc.|,SBIR Phase I:  Smart Chip-System Miniaturization for Internet of Things,150000,True,| As our world fills with Internet of Things/Wearable devices, zGlue offers a technology capable of delivering smaller products with more personalized appeal. zGlue?s Smart Silicon Interposer simplifies the design of custom IoT systems using a programmable fabric with the added of benefit of eliminating bulky packaging to reduce the overall size of the product, allowing for the development of compact, versatile products with minimal interference into a customer?s daily life.              In Phase I, zGlue secured commercial manufacturing partnerships crucial for success, developed proper assembly technology, and developed the active Silicon Interposer. zGlue designed a Silicon Interposer prototype that was ready to be sent to production manufacturers. zGlue met its goal for production test cost estimates with new design and architecture innovation during Phase I research.              Hardware and chip development is a time-consuming, expensive process that plagues companies of all sizes. As the IoT/Wearable device market grows, the demand for IoT-specific chips will also increase. zGlue?s accessible technology will allow IoT/Wearable companies to produce and improve their potentially life-altering consumer products use at a low cost, with a fast turnaround time, and a smaller form factor. zGlue?s technology augments the current industry solutions such as System in Packages (SiPs) and Printed Circuit Boards (PCBs), and mitigate issues customers have with these solutions.           Last Modified: 08/26/2016       Submitted by: Jawad Nasrullah|
1418289,NSF,12/13/2013,Damon McCoy,George Mason University,Ideas Lab: Interdisciplinary Pathways towards a Secure Internet,111816,True,| Today, our lives are intimately connected to the Internet. This integration of life and network is ongoing. Indeed, while networks were originally used for computers and their users to communicate, we now have commonplace objects (such as measuring cups, light bulbs and tea kettles) that communicate with each other and with us. This trend is accelerating, leading to what is called the "Internet of Things".  Unfortunately, many networked systems, as well as the networks themselves, are vulnerable to attack or disruption.  Since the late 1980s we have seen attacks that affect thousands (and now 10s or 100s of thousands) of people and cause many millions of dollars in damage.  Over time we have come to realize that the problem of security in our networks and networked systems is a multidisciplinary problem, touching on policy issues, economic incentives, and public and business awareness and education, along with new technical challenges.  In mid-February 2014, the National Science Foundation (NSF) sponsored a 2 and a half-day workshop centered on identifying high-impact actions that could be taken to better secure the Internet.  The workshop, the Cybersecurity Ideas Lab, brought together 35 invited experts in computer science, cybersecurity, economics, social science and policy.  These experts were drawn from industry, academia, and the government.  The workshop leveraged the NSF Ideas Lab process with a twist.  Where the typical Ideas Lab seeks to identify research ideas or thrusts, this workshop combined expert facilitators with a diverse set of experts to identify actionable ideas that would lead to a more secure Internet. The Ideas Lab was coordinated by a six-member Steering Committee.  The workshop participants generated a large number of ideas for high-impact actions that could potentially be adopted by cybersecurity researchers, policymakers or practitioners to advance cybersecurity. The workshop refined, combined and adapted these ideas to yield a practical working set of recommendations. The Steering Committee assembled and, through multiple review cycles, refined the ideas into the sixteen actionable recommendations presented below. These recommendations are grouped into three categories: technology, policy, and leadership. (We note that educational opportunities also regularly appear within individual recommendations.) This workshop report was compiled and edited by Emily Grumbling, Keith Marzullo and Craig Partridge, with additional input from the Steering Committee.  We present these recommendations in three categories: technology, policy, and leadership. Technology recommendations include ideas for research, development, deployment and modification of cyberattack prevention and response tools. Policy recommendations require action by the Federal Government in the form of new laws or regulations, standards, governance or coordination models. Leadership pathways invite the Federal Government to leverage its existing leadership in information technology to improve cybersecurity practices, both inside and outside the government. A theme of education and awareness appears throughout these three categories, including ways of informing user practices and raising awareness of the impact of breaches.  The recommendations are diverse, spanning a range of challenges, mechanisms and themes. They address various timeframes with respect to a cyber incident, including preventative or preemptive measures, tools for system maintenance and incident response and post-incident evaluation and reporting. Some aim to convene experts and gather or advance knowledge of risks. Others propose the development of new standards, laws or regulations, new education and research initiatives, or deployment of specific tools and technologies.  Some recommendations are cautionary and invite us to better understand the consequences of the choices we may make.  Most envision the Federal Government playing a key role, as a technology leader, a policy ...|
